Mesure53
temps(s);entree;sortie
0.0;1.0;-0.1202071821121382
2.74724808476e-05;0.9996829223075361;-0.12003539466529857
5.49449616951e-05;0.9987318903066703;-0.11978748612655003
8.24174425427e-05;0.9971475070994674;-0.11946361370842734
0.00010988992339;0.99493077743107;-0.11906398279636851
0.000137362404238;0.992083107052534;-0.1185888468184684
0.000164834885085;0.9886063018293647;-0.11803850708476597
0.000192307365933;0.9845025665963167;-0.11741331259616687
0.000219779846781;0.9797745037591863;-0.11671365982312272
0.000247252327628;0.9744251116444819;-0.11593999245420707
0.000274724808476;0.9684577825980192;-0.11509280111474808
0.000302197289323;0.9618763008336467;-0.11417262305569575
0.000329669770171;0.954684840033466;-0.1131800418129213
0.000357142251018;0.946887960701069;-0.11211568683716483
0.000384614731866;0.93849060726947;-0.11098023309486567
0.000412087212714;0.9294981049655668;-0.10977440064012886
0.000439559693561;0.9199161564331194;-0.10849895415809886
0.000467032174409;0.9097508381163879;-0.10715470248003046
0.000494504655256;0.899008596406722;-0.10574249807036402
0.000521977136104;0.8876962435545485;-0.1042632364861305
0.000549449616951;0.8758209533493445;-0.10271785580902934
0.000576922097799;0.8633902565703414;-0.1011073360505386
0.000604394578647;0.8504120362108399;-0.09943269853043571
0.000631867059494;0.8368945224791677;-0.09769500522912182
0.000659339540342;0.8228462875794489;-0.0958953581141613
0.000686812021189;0.8082762402754935;-0.09403489844146314
0.000714284502037;0.7931936202412582;-0.09211480603154716
0.000741756982884;0.7776079922014564;-0.0901362985213547
0.000769229463732;0.761529239866037;-0.08810063059207741
0.00079670194458;0.7449675596623766;-0.08600909317349467
0.000824174425427;0.7279334542691597;-0.08386301262532316
0.000851646906275;0.7104377259560488;-0.081663749896099
0.000879119387122;0.6924914697333671;-0.07941269966012487
0.00090659186797;0.6741060663161371;-0.07711128943302957
0.000934064348817;0.6552931749069403;-0.07476097866650164
0.000961536829665;0.6360647258021698;-0.0723632578227698
0.000989009310513;0.6164329128263689;-0.06991964742941878
0.00101648179136;0.5964101855994527;-0.06743169711513809
0.00104395427221;0.5760092416417125;-0.064900984627017
0.00107142675306;0.5552430183216173;-0.06232911483000762
0.0010988992339;0.5341246846515095;-0.05971771868919099
